"Field Name","Data Type","Enumeration","Description","Header Field","Minimum Value","Maximum Value","Import-only","Comments","ADIF Version","ADIF Status"
"MORSE_KEY_INFO","String","","details of the contacted station's Morse key (e.g. make, model, etc). Example: <MORSE_KEY_INFO:16>Begali Sculpture","","","","","","3.1.7","Released"
"MORSE_KEY_TYPE","Enumeration","Morse_Key_Type","the contacted station's Morse key type (e.g. straight key, bug, etc). Example for a dual-lever paddle: <MORSE_KEY_TYPE:2>DP","","","","","","3.1.7","Released"
"MS_SHOWER","String","","For Meteor Scatter QSOs, the name of the meteor shower in progress","","","","","","3.1.7","Released"
"MY_ALTITUDE","Number","","the height of the logging station in meters relative to Mean Sea Level (MSL). For example 1.5 km is <MY_ALTITUDE:4>1500 and 10.5 m is <MY_ALTITUDE:4>10.5","","","","","","3.1.7","Released"
"MY_ANTENNA","String","","the logging station's antenna","","","","","","3.1.7","Released"
"MY_ANTENNA_INTL","IntlString","","the logging station's antenna","","","","","","3.1.7","Released"
"MY_ARRL_SECT","Enumeration","ARRL_Section","the logging station's ARRL section","","","","","","3.1.7","Released"
"MY_CITY","String","","the logging station's city","","","","","","3.1.7","Released"
"MY_CITY_INTL","IntlString","","the logging station's city","","","","","","3.1.7","Released"
"MY_CNTY","Enumeration","Secondary_Administrative_Subdivision[MY_DXCC]","the logging station's Secondary Administrative Subdivision (e.g. US county, JA Gun), in the specified format","","","","","","3.1.7","Released"
"MY_CNTY_ALT","SecondaryAdministrativeSubdivisionListAlt","","a semicolon (;) delimited, unordered list of Secondary Administrative Subdivision Alt codes for the logging station See the Data Type for details.","","","","","","3.1.7","Released"
"MY_COUNTRY","String","Country","the logging station's DXCC entity name","","","","","","3.1.7","Released"
"MY_COUNTRY_INTL","IntlString","Country","the logging station's DXCC entity name","","","","","","3.1.7","Released"
"MY_CQ_ZONE","PositiveInteger","","the logging station's CQ Zone in the range 1 to 40 (inclusive)","","1","40","","","3.1.7","Released"
"MY_DARC_DOK","Enumeration","","the logging station's DARC DOK (District Location Code) A DOK comprises letters and numbers, e.g. <MY_DARC_DOK:3>A01 Note that DARC provides two different lists - one for DOKs and one for Special DOKs.","","","","","","3.1.7","Released"
"MY_DXCC","Enumeration","DXCC_Entity_Code","the logging station's DXCC Entity Code <MY_DXCC:1>0 means that the logging station is known not to be within a DXCC entity.","","","","","","3.1.7","Released"
"MY_FISTS","PositiveInteger","","the logging station's FISTS CW Club member number with a value greater than 0.","","1","","","","3.1.7","Released"
"MY_GRIDSQUARE","GridSquare","","the logging station's 2-character, 4-character, 6-character, or 8-character Maidenhead Grid Square For 10 or 12 character locators, store the first 8 characters in MY_GRIDSQUARE and the additional 2 or 4 characters in the MY_GRIDSQUARE_EXT field","","","","","","3.1.7","Released"
"MY_GRIDSQUARE_EXT","GridSquareExt","","for a logging station's 10-character Maidenhead locator, supplements the MY_GRIDSQUARE field by containing characters 9 and 10. For a logging station's 12-character Maidenhead locator, supplements the MY_GRIDSQUARE field by containing characters 9, 10, 11 and 12. Characters 9 and 10 are case-insensitive ASCII letters in the range A-X. Characters 11 and 12 are Digits in the range 0 to 9. On export, the field length must be 2 or 4. On import, if the field length is greater than 4, the additional characters must be ignored. Example of exporting the 10-character locator FN01MH42BQ: <MY_GRIDSQUARE:8>FN01MH42 <MY_GRIDSQUARE_EXT:2>BQ","","","","","","3.1.7","Released"
"MY_IOTA","IOTARefNo","","the logging station's IOTA designator, in format CC-XXX, where CC is a member of the Continent enumeration XXX is the island group designator, where 1 <= XXX <= 999 [use leading zeroes]","","","","","","3.1.7","Released"
"MY_IOTA_ISLAND_ID","PositiveInteger","","the logging station's IOTA Island Identifier, an 8-digit integer in the range 1 to 99999999 [leading zeroes optional]","","1","99999999","","","3.1.7","Released"
"MY_ITU_ZONE","PositiveInteger","","the logging station's ITU zone in the range 1 to 90 (inclusive)","","1","90","","","3.1.7","Released"
"MY_LAT","Location","","the logging station's latitude","","","","","","3.1.7","Released"
"MY_LON","Location","","the logging station's longitude","","","","","","3.1.7","Released"
"MY_MORSE_KEY_INFO","String","","details of the logging station's Morse key (e.g. make, model, etc). Example: <MY_MORSE_KEY_INFO:16>Begali Sculpture","","","","","","3.1.7","Released"
"MY_MORSE_KEY_TYPE","Enumeration","Morse_Key_Type","the logging station's Morse key type (e.g. straight key, bug, etc). Example for a dual-lever paddle: <MORSE_KEY_TYPE:2>DP","","","","","","3.1.7","Released"
"MY_NAME","String","","the logging operator's name","","","","","","3.1.7","Released"
"MY_NAME_INTL","IntlString","","the logging operator's name","","","","","","3.1.7","Released"
"MY_POSTAL_CODE","String","","the logging station's postal code","","","","","","3.1.7","Released"
"MY_POSTAL_CODE_INTL","IntlString","","the logging station's postal code","","","","","","3.1.7","Released"
"MY_POTA_REF","POTARefList","","a comma-delimited list of one or more of the logging station's POTA (Parks on the Air) reference(s). Examples: <MY_POTA_REF:6>K-0059 <MY_POTA_REF:7>K-10000 <MY_POTA_REF:40>K-0817,K-4566,K-4576,K-4573,K-4578@US-WY","","","","","","3.1.7","Released"
"MY_RIG","String","","description of the logging station's equipment","","","","","","3.1.7","Released"
"MY_RIG_INTL","IntlString","","description of the logging station's equipment","","","","","","3.1.7","Released"
"MY_SIG","String","","special interest activity or event","","","","","","3.1.7","Released"
"MY_SIG_INTL","IntlString","","special interest activity or event","","","","","","3.1.7","Released"
"MY_SIG_INFO","String","","special interest activity or event information","","","","","","3.1.7","Released"
"MY_SIG_INFO_INTL","IntlString","","special interest activity or event information","","","","","","3.1.7","Released"
"MY_SOTA_REF","SOTARef","","the logging station's International SOTA Reference.","","","","","","3.1.7","Released"
"MY_STATE","Enumeration","Primary_Administrative_Subdivision[MY_DXCC]","the code for the logging station's Primary Administrative Subdivision (e.g. US State, JA Island, VE Province)","","","","","","3.1.7","Released"
"MY_STREET","String","","the logging station's street","","","","","","3.1.7","Released"
"MY_STREET_INTL","IntlString","","the logging station's street","","","","","","3.1.7","Released"
"MY_USACA_COUNTIES","SecondarySubdivisionList","","two US counties in the case where the logging station is located on a border between two counties, representing counties that the contacted station may claim for the CQ Magazine USA-CA award program. E.g. MA,Franklin:MA,Hampshire","","","","","","3.1.7","Released"
"MY_VUCC_GRIDS","GridSquareList","","two or four adjacent Maidenhead grid locators, each four or six characters long, representing the logging station's grid squares that the contacted station may claim for the ARRL VUCC award program. E.g. EM98,FM08,EM97,FM07","","","","","","3.1.7","Released"
"MY_WWFF_REF","WWFFRef","","the logging station's WWFF (World Wildlife Flora & Fauna) reference","","","","","","3.1.7","Released"
"NAME","String","","the contacted station's operator's name","","","","","","3.1.7","Released"
"NAME_INTL","IntlString","","the contacted station's operator's name","","","","","","3.1.7","Released"
"NOTES","MultilineString","","QSO notes recommended use: information of interest to the logging station's operator","","","","","","3.1.7","Released"
"NOTES_INTL","IntlMultilineString","","QSO notes recommended use: information of interest to the logging station's operator","","","","","","3.1.7","Released"
"NR_BURSTS","Integer","","the number of meteor scatter bursts heard by the logging station with a value greater than or equal to 0","","0","","","","3.1.7","Released"
"NR_PINGS","Integer","","the number of meteor scatter pings heard by the logging station with a value greater than or equal to 0","","0","","","","3.1.7","Released"
"OPERATOR","String","","the logging operator's callsign if STATION_CALLSIGN is absent, OPERATOR shall be treated as both the logging station's callsign and the logging operator's callsign","","","","","","3.1.7","Released"
"OWNER_CALLSIGN","String","","the callsign of the owner of the station used to log the contact (the callsign of the OPERATOR's host) if OWNER_CALLSIGN is absent, STATION_CALLSIGN shall be treated as both the logging station's callsign and the callsign of the owner of the station","","","","","","3.1.7","Released"
"PFX","String","","the contacted station's WPX prefix","","","","","","3.1.7","Released"
"POTA_REF","POTARefList","","a comma-delimited list of one or more of the contacted station's POTA (Parks on the Air) reference(s). Examples: <POTA_REF:6>K-5033 <POTA_REF:13>VE-5082@CA-AB <POTA_REF:40>K-0817,K-4566,K-4576,K-4573,K-4578@US-WY","","","","","","3.1.7","Released"
"PRECEDENCE","String","","contest precedence (e.g. for ARRL Sweepstakes)","","","","","","3.1.7","Released"
"PROP_MODE","Enumeration","Propagation_Mode","QSO propagation mode","","","","","","3.1.7","Released"
"PUBLIC_KEY","String","","public encryption key","","","","","","3.1.7","Released"
"QRZCOM_QSO_DOWNLOAD_DATE","Date","","date QSO downloaded from QRZ.COM logbook","","","","","","3.1.7","Released"
"QRZCOM_QSO_DOWNLOAD_STATUS","Enumeration","QSO_Download_Status","QRZ.COM logbook QSO download status","","","","","","3.1.7","Released"
"QRZCOM_QSO_UPLOAD_DATE","Date","","the date the QSO was last uploaded to the QRZ.COM online service","","","","","","3.1.7","Released"
"QRZCOM_QSO_UPLOAD_STATUS","Enumeration","QSO_Upload_Status","the upload status of the QSO on the QRZ.COM online service","","","","","","3.1.7","Released"
"QSLMSG","MultilineString","","a message for the contacted station's operator to be incorporated in a paper or electronic QSL","","","","","","3.1.7","Released"
"QSLMSG_INTL","IntlMultilineString","","a message for the contacted station's operator to be incorporated in a paper or electronic QSL","","","","","","3.1.7","Released"
"QSLMSG_RCVD","MultilineString","","a message addressed to the logging station's operator incorporated in a paper or electronic QSL","","","","","","3.1.7","Released"
"QSLRDATE","Date","","QSL received date (only valid if QSL_RCVD is Y, I, or V)(V import-only)","","","","","","3.1.7","Released"
"QSLSDATE","Date","","QSL sent date (only valid if QSL_SENT is Y, Q, or I)","","","","","","3.1.7","Released"
"QSL_RCVD","Enumeration","QSL_Rcvd","QSL received status instead of V (import-only) use <CREDIT_GRANTED:39>DXCC:card,DXCC_BAND:card,DXCC_MODE:card Default Value: N","","","","","","3.1.7","Released"
"QSL_RCVD_VIA","Enumeration","QSL_Via","if QSL_RCVD is set to 'Y' or 'V', the means by which the QSL was received by the logging station; otherwise, the means by which the logging station requested or intends to request that the QSL be conveyed. (Note: 'V' is import-only) use of M (manager) is import-only","","","","","","3.1.7","Released"
"QSL_SENT","Enumeration","QSL_Sent","QSL sent status Default Value: N","","","","","","3.1.7","Released"
"QSL_SENT_VIA","Enumeration","QSL_Via","if QSL_SENT is set to 'Y', the means by which the QSL was sent by the logging station; otherwise, the means by which the logging station intends to convey the QSL use of M (manager) is import-only","","","","","","3.1.7","Released"
"QSL_VIA","String","","the contacted station's QSL route","","","","","","3.1.7","Released"
"QSO_COMPLETE","Enumeration","QSO_Complete","indicates whether the QSO was complete from the perspective of the logging station Y - yes N - no NIL - not heard ? - uncertain","","","","","","3.1.7","Released"
"QSO_DATE","Date","","date on which the QSO started","","","","","","3.1.7","Released"
"QSO_DATE_OFF","Date","","date on which the QSO ended","","","","","","3.1.7","Released"
"QSO_RANDOM","Boolean","","indicates whether the QSO was random or scheduled","","","","","","3.1.7","Released"
"QTH","String","","the contacted station's city","","","","","","3.1.7","Released"
"QTH_INTL","IntlString","","the contacted station's city","","","","","","3.1.7","Released"
"REGION","Enumeration","Region","the contacted station's WAE or CQ entity contained within a DXCC entity. the value None indicates that the WAE or CQ entity is the DXCC entity in the DXCC field. nothing can be inferred from the absence of the REGION field","","","","","","3.1.7","Released"
"RIG","MultilineString","","description of the contacted station's equipment","","","","","","3.1.7","Released"
"RIG_INTL","IntlMultilineString","","description of the contacted station's equipment","","","","","","3.1.7","Released"
"RST_RCVD","String","","signal report from the contacted station","","","","","","3.1.7","Released"
"RST_SENT","String","","signal report sent to the contacted station","","","","","","3.1.7","Released"
"RX_PWR","Number","","the contacted station's transmitter power in Watts with a value greater than or equal to 0","","0","","","","3.1.7","Released"
"SAT_MODE","String","","satellite mode - a code representing the satellite's uplink band and downlink band","","","","","","3.1.7","Released"
